Plant,Style_CD,Activity,SAH,Pack_Unit,Pack_Qty,Size,Operation_code
95,Q74D,SEW,0.3542,X,1,2XL,60500
95,349P05,VAP,0.23364,6,6,L,60900
96,B841IR,VAP,0.2445,3,3,L,60900
95,G300,SEW,0.26748,X,1,8,60500
95,1400IR,VAP,0.2832,3,3,9,60900
95,1430IR,VAP,0.0767,3,3,7,60900
95,1300IR,VAP,0.1281,3,3,6,60900
95,G13L,SEW,0.2575,X,1,4,60500
95,G13L,SEW,0.2575,X,1,8,60500
95,G13H,SEW,0.27792,X,1,14,60500
95,G13H,SEW,0.257493699,X,1,6,60500
95,G13H,SEW,0.257493699,X,1,8,60500
95,V141V0,SEW,0.2918,X,1,9,60500
95,1411IR,VAP,0.4146,6,6,8,60900
95,PW1S99,VAP,0.5808,A,10,5,60900
95,E44108,VAP,0.28296,4,4,8,60900
96,MR55,SEW,0.60672,X,1,L,60500
96,BY83,SEW,0.59604,X,1,M,60500
96,TPWI,SEW,0.7598,X,1,2/3,60500
96,RNWOIR,VAP,0.1281,3,3,M,60900
96,RNWIIR,VAP,0.1828,3,3,L,60900
96,RNWIIR,VAP,0.1828,3,3,XL,60900
95,430N,SEW,0.30048,X,1,12,60500
95,430N,SEW,0.29484,X,1,8,60500
95,430N,SEW,0.28164,X,1,5,60500
95,430NYA,SEW,0.2957,X,1,11,60500
95,430NYA,SEW,0.2957,X,1,12,60500
95,430NAC,SEW,0.2957,X,1,10,60500
95,430NAC,SEW,0.2957,X,1,11,60500
95,430NAE,SEW,0.2957,X,1,13,60500
95,430NYB,SEW,0.2957,X,1,10,60500
95,430NA6,SEW,0.2957,X,1,11,60500
95,430NAF,SEW,0.2957,X,1,10,60500
95,430NAF,SEW,0.28164,X,1,5,60500
95,430NAJ,SEW,0.28164,X,1,5,60500
95,430NA8,SEW,0.28164,X,1,6,60500
95,430NAN,SEW,0.2957,X,1,12,60500
95,430NAN,SEW,0.28164,X,1,5,60500
95,430NAP,SEW,0.2957,X,1,13,60500
95,430NAQ,SEW,0.2957,X,1,12,60500
95,430NAQ,SEW,0.2957,X,1,13,60500
95,430NAR,SEW,0.2957,X,1,10,60500
95,430NAR,SEW,0.28164,X,1,5,60500
95,430NAR,SEW,0.28164,X,1,7,60500
95,430NYD,SEW,0.2957,X,1,8,60500
95,430NYD,SEW,0.2957,X,1,11,60500
95,430NYD,SEW,0.28164,X,1,6,60500
95,430NAS,SEW,0.28164,X,1,5,60500
95,430NAT,SEW,0.2957,X,1,11,60500
95,430NAT,SEW,0.28164,X,1,4,60500
95,400NTO,SEW,0.29268,X,1,8,60500
95,430NAU,SEW,0.28164,X,1,6,60500
95,430NYF,SEW,0.2957,X,1,9,60500
95,430NAV,SEW,0.28164,X,1,4,60500
95,430NAV,SEW,0.28164,X,1,6,60500
95,430NA9,SEW,0.28164,X,1,5,60500
95,430NAZ,SEW,0.28164,X,1,4,60500
95,430NAZ,SEW,0.28164,X,1,7,60500
95,430NBA,SEW,0.28164,X,1,4,60500
95,430NBB,SEW,0.2957,X,1,8,60500
95,430NBB,SEW,0.2957,X,1,9,60500
95,430NBB,SEW,0.2957,X,1,12,60500
95,430NBD,SEW,0.2957,X,1,9,60500
95,430NBD,SEW,0.28164,X,1,7,60500
95,430NBE,SEW,0.2957,X,1,11,60500
95,430NBF,SEW,0.2957,X,1,8,60500
95,430NBF,SEW,0.2957,X,1,9,60500
95,430NBF,SEW,0.28164,X,1,6,60500
95,430NA7,SEW,0.2957,X,1,12,60500
95,430NXZ,SEW,0.2957,X,1,12,60500
95,430NYH,SEW,0.2957,X,1,9,60500
95,430NYJ,SEW,0.2957,X,1,9,60500
95,430NYJ,SEW,0.2957,X,1,11,60500
95,430NBJ,SEW,0.2957,X,1,10,60500
95,430NBK,SEW,0.28164,X,1,5,60500
95,430NBM,SEW,0.28164,X,1,7,60500
95,430NBP,SEW,0.2957,X,1,9,60500
95,430NTA,SEW,0.30048,X,1,11,60500
95,430NTA,SEW,0.29484,X,1,10,60500
95,430NTD,SEW,0.30048,X,1,12,60500
95,430NTF,SEW,0.30048,X,1,11,60500
95,430NTF,SEW,0.30048,X,1,13,60500
95,430NTG,SEW,0.30048,X,1,13,60500
95,430NTH,SEW,0.28164,X,1,4,60500
95,430NTI,SEW,0.29484,X,1,8,60500
95,430NTJ,SEW,0.28164,X,1,4,60500
95,430NTK,SEW,0.29484,X,1,10,60500
95,430NTQ,SEW,0.30048,X,1,12,60500
95,430NTQ,SEW,0.30048,X,1,13,60500
95,430NTQ,SEW,0.29484,X,1,10,60500
95,430NTR,SEW,0.28164,X,1,4,60500
95,430NTR,SEW,0.28164,X,1,7,60500
95,430NTS,SEW,0.30048,X,1,11,60500
95,430NTU,SEW,0.28164,X,1,6,60500
95,430NTW,SEW,0.29484,X,1,8,60500
95,430NTW,SEW,0.28164,X,1,4,60500
95,430NTW,SEW,0.28164,X,1,6,60500
95,430NTW,SEW,0.28164,X,1,7,60500
95,430NTX,SEW,0.28164,X,1,4,60500
95,430NTY,SEW,0.29484,X,1,9,60500
95,430NTY,SEW,0.28164,X,1,5,60500
95,430NTZ,SEW,0.29484,X,1,9,60500
95,430NTZ,SEW,0.29484,X,1,10,60500
95,430NUA,SEW,0.2957,X,1,10,60500
95,430NUB,SEW,0.2957,X,1,13,60500
95,430NUB,SEW,0.28164,X,1,7,60500
95,430NUC,SEW,0.28164,X,1,7,60500
95,430NUD,SEW,0.2957,X,1,10,60500
95,430NUD,SEW,0.2957,X,1,12,60500
95,430NUD,SEW,0.28164,X,1,4,60500
95,430NUF,SEW,0.28164,X,1,4,60500
95,430NUH,SEW,0.28164,X,1,5,60500
95,430NUJ,SEW,0.28164,X,1,4,60500
95,430NUO,SEW,0.2957,X,1,11,60500
95,430NUQ,SEW,0.2957,X,1,8,60500
95,430NUQ,SEW,0.2957,X,1,13,60500
95,430NUT,SEW,0.2957,X,1,8,60500
95,430NUT,SEW,0.28164,X,1,5,60500
95,430NUT,SEW,0.28164,X,1,6,60500
95,400N,SEW,0.28104,X,1,5,60500
95,400NTA,SEW,0.29268,X,1,10,60500
95,400NTB,SEW,0.3054,X,1,11,60500
95,400NTB,SEW,0.28104,X,1,6,60500
95,400NTD,SEW,0.29268,X,1,10,60500
95,400NTE,SEW,0.3054,X,1,13,60500
95,400NTE,SEW,0.29268,X,1,8,60500
95,400NTF,SEW,0.3054,X,1,11,60500
95,400NTF,SEW,0.29268,X,1,9,60500
95,400NTF,SEW,0.28104,X,1,6,60500
95,400NTG,SEW,0.29268,X,1,8,60500
95,400NTH,SEW,0.3054,X,1,13,60500
95,400NTI,SEW,0.29268,X,1,8,60500
95,400NTI,SEW,0.28104,X,1,6,60500
95,400NTK,SEW,0.3054,X,1,12,60500
95,400NTP,SEW,0.3054,X,1,12,60500
95,400NTQ,SEW,0.29268,X,1,9,60500
95,400NTQ,SEW,0.28104,X,1,4,60500
95,400NTQ,SEW,0.28104,X,1,6,60500
95,400NTS,SEW,0.28104,X,1,4,60500
95,400NTT,SEW,0.28104,X,1,6,60500
95,400NTU,SEW,0.3054,X,1,11,60500
95,400NTW,SEW,0.3054,X,1,11,60500
